1,Dermedica,2,12,666837878,dermedica@o2.pl,67
2,Amazmed,43,2,346792376,amazmed@gmail.com,34
3,Medimed,12,6,668354699,medimed@wp.pl,12
4,Medea,3,18,668356183,medea@o2.pl,55
5,Medola,44,7,645981346,medola@wp.pl,22
6,Siloe,26,28,685701352,siloe@wp.pl,70
7,Medbuk,13,4,664523891,medbuk@gmail.com,47
8,Danmed,55,13,556437889,danmed@o2.pl,4
9,Domestica,67,24,567432687,dmoestica@wp.pl,39
10,Awamed,23,17,665254702,awamed@gmail.com,61
11,Baltimed,34,3,701345863,baltimed@o2.pl,49
12,Witamino,4,25,704567892,witamino@wp.pl,58
13,Optima,11,5,776534912,optima@gmail.com,33
14,Zanmed,23,6,704562348,zanmed@wp.pl,19
15,Zdrowie,33,12,456987154,zdrowie@gmail.com,50
16,Rodzina,16,4,665745349,rodzina@wp.pl,10
17,Tommed,8,11,445983671,tommed@wp.pl,11
18,Medicover,1,2,976456124,medicover@o2.pl,30
19,Unimed,51,2,998456231,unimed@wp.pl,5
20,Scanmed,27,4,934023845,scanmed@o2.pl,9
21,Vita,2,9,983456123,vita@gmail.com,1
22,FamiliaMed,8,2,785346182,familiamed@wp.pl,69
23,PulsMed,16,15,887562341,pulsmed@gmail.com,39
24,Medicus,3,19,778234561,medicus@o2.pl,18
25,Transmed,38,3,887362091,transmed@wp.pl,66
